iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"30-jun-2017"
Total Net Assets,"17,939,712,346.22"
,"131,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"TXN","TEXAS INSTRUMENT INC","Equity","0.67","76.93","1,556,695.00","119,756,546.35","119,756,546.35","Tecnología de la Información","2885409","US8825081040","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.66","33.74","3,531,605.00","119,156,352.70","119,156,352.70","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.66","110.59","1,076,155.00","119,011,981.45","119,011,981.45","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.65","153.83","761,397.00","117,125,700.51","117,125,700.51","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.65","197.75","587,618.00","116,201,459.50","116,201,459.50","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.63","336.85","336,998.00","113,517,776.30","113,517,776.30","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
"ADBE","ADOBE SYSTEM INC","Equity","0.61","141.44","772,935.00","109,323,926.40","109,323,926.40","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"AMGN","AMGEN INC","Equity","0.61","172.23","632,378.00","108,914,462.94","108,914,462.94","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.60","277.61","388,920.00","107,968,081.20","107,968,081.20","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.56","149.41","673,418.00","100,615,383.38","100,615,383.38","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.53","108.91","870,484.00","94,804,412.44","94,804,412.44","Industriales","2914734","US9078181081","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.52","53.67","1,745,509.00","93,681,468.03","93,681,468.03","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.52","133.29","702,751.00","93,669,680.79","93,669,680.79","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"BIIB","BIOGEN INC INC","Equity","0.50","271.36","333,759.00","90,568,842.24","90,568,842.24","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.50","86.60","1,044,730.00","90,473,618.00","90,473,618.00","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.49","132.32","664,047.00","87,866,699.04","87,866,699.04","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.49","198.10","443,081.00","87,774,346.10","87,774,346.10","Industriales","2365161","US3695501086","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.47","65.04","1,292,904.00","84,090,476.16","84,090,476.16","Productos básicos de consumo","2429090","US7617131062","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.47","217.33","384,340.00","83,528,612.20","83,528,612.20","Industriales","2142784","US31428X1063","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.46","42.96","1,901,156.00","81,673,661.76","81,673,661.76","Financieros","2779397","US8085131055","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.44","55.72","1,415,706.00","78,883,138.32","78,883,138.32","Cuidado de la Salud","2126335","US1101221083","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.44","151.83","518,051.00","78,655,683.33","78,655,683.33","Cuidado de la Salud","2695921","US00817Y1082","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.40","72.17","1,005,075.00","72,536,262.75","72,536,262.75","Consumo discrecional","2989301","US8725401090","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.40","51.92","1,386,091.00","71,965,844.72","71,965,844.72","Financieros","2736035","US9029733048","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.40","102.46","699,016.00","71,621,179.36","71,621,179.36","Tecnología de la Información","2065308","US0530151036","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.39","256.71","272,758.00","70,019,706.18","70,019,706.18","Industriales","2648806","US6668071029","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.39","59.00","1,180,229.00","69,633,511.00","69,633,511.00","Consumo discrecional","2640147","US6541061031","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.39","143.25","485,651.00","69,569,505.75","69,569,505.75","Industriales","2457552","US4523081093","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.39","41.31","1,679,039.00","69,361,101.09","69,361,101.09","Tecnología de la Información","2046552","US0382221051","NASDAQ"
"BDX","BECTON DICKINSON","Equity","0.39","195.11","355,220.00","69,306,974.20","69,306,974.20","Cuidado de la Salud","2087807","US0758871091","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.37","138.78","484,707.00","67,267,637.46","67,267,637.46","Cuidado de la Salud","2853688","US8636671013","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.37","77.53","858,023.00","66,522,523.19","66,522,523.19","Consumo discrecional","2536763","US5486611073","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.36","174.47","372,864.00","65,053,582.08","65,053,582.08","Cuidado de la Salud","2886907","US8835561023","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.36","65.84","976,410.00","64,286,834.40","64,286,834.40","Energía","2779201","AN8068571086","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.35","77.96","805,175.00","62,771,443.00","62,771,443.00","Financieros","2567741","US5717481023","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.35","57.57","1,083,342.00","62,367,998.94","62,367,998.94","Tecnología de la Información","2575818","US00507V1098","NASDAQ"
