iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-oct-2017"
Total Net Assets,"19,458,359,427.09"
,"131,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"GE","GENERAL ELECTRIC","Equity","0.66","20.16","6,379,737.00","128,615,497.92","128,615,497.92","Industriales","2380498","US3696041033","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.66","72.56","1,771,998.00","128,576,174.88","128,576,174.88","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.65","117.53","1,079,829.00","126,912,302.37","126,912,302.37","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.64","54.84","2,263,733.00","124,143,117.72","124,143,117.72","Consumo discrecional","2842255","US8552441094","NASDAQ"
"CELG","CELGENE CORP","Equity","0.64","100.97","1,226,595.00","123,849,297.15","123,849,297.15","Cuidado de la Salud","2182348","US1510201049","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.62","308.16","392,839.00","121,057,266.24","121,057,266.24","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.62","98.29","1,219,416.00","119,856,398.64","119,856,398.64","Consumo discrecional","B63QTN2","US8873173038","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.61","154.06","774,547.00","119,326,710.82","119,326,710.82","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.61","51.01","2,316,312.00","118,155,075.12","118,155,075.12","Tecnología de la Información","2714923","US7475251036","NASDAQ"
"AMGN","AMGEN INC","Equity","0.57","175.22","629,207.00","110,249,650.54","110,249,650.54","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.56","102.34","1,070,440.00","109,548,829.60","109,548,829.60","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.54","334.17","315,356.00","105,382,514.52","105,382,514.52","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
