iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"28-abr-2017"
Total Net Assets,"17,469,333,533.05"
,"130,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"ACN","ACCENTURE PLC CLASS A","Equity","0.67","121.30","968,211.00","117,443,994.30","117,443,994.30","Tecnología de la Información","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.66","345.16","334,454.00","115,440,142.64","115,440,142.64","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.66","107.46","1,071,677.00","115,162,410.42","115,162,410.42","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.63","139.93","789,563.00","110,483,550.59","110,483,550.59","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.63","184.83","593,455.00","109,688,287.65","109,688,287.65","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.60","269.45","388,228.00","104,608,034.60","104,608,034.60","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.59","133.74","770,769.00","103,082,646.06","103,082,646.06","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"AMGN","AMGEN INC","Equity","0.59","163.32","629,865.00","102,869,551.80","102,869,551.80","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.58","152.20","669,287.00","101,865,481.40","101,865,481.40","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.56","111.96","873,122.00","97,754,739.12","97,754,739.12","Industriales","2914734","US9078181081","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.55","104.30","915,926.00","95,531,081.80","95,531,081.80","Tecnología de la Información","2379504","US67066G1040","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.52","131.14","698,107.00","91,549,751.98","91,549,751.98","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"BIIB","BIOGEN INC INC","Equity","0.52","271.21","335,739.00","91,055,774.19","91,055,774.19","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.50","86.12","1,018,355.00","87,700,732.60","87,700,732.60","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.49","193.79","442,525.00","85,756,919.75","85,756,919.75","Industriales","2365161","US3695501086","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.48","125.94","664,275.00","83,658,793.50","83,658,793.50","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.48","47.72","1,746,267.00","83,331,861.24","83,331,861.24","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"RAI","REYNOLDS AMERICAN INC","Equity","0.47","64.50","1,286,062.00","82,950,999.00","82,950,999.00","Productos básicos de consumo","2429090","US7617131062","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.46","56.05","1,430,542.00","80,181,879.10","80,181,879.10","Cuidado de la Salud","2126335","US1101221083","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.46","78.64","1,013,670.00","79,715,008.80","79,715,008.80","Consumo discrecional","2989301","US8725401090","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.42","38.85","1,888,992.00","73,387,339.20","73,387,339.20","Financieros","2779397","US8085131055","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.42","84.88","861,845.00","73,153,403.60","73,153,403.60","Consumo discrecional","2536763","US5486611073","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.42","104.49","698,035.00","72,937,677.15","72,937,677.15","Tecnología de la Información","2065308","US0530151036","NASDAQ"
"FDX","FEDEX CORP","Equity","0.41","189.70","381,218.00","72,317,054.60","72,317,054.60","Industriales","2142784","US31428X1063","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.41","51.28","1,386,162.00","71,082,387.36","71,082,387.36","Financieros","2736035","US9029733048","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.41","72.59","975,459.00","70,808,568.81","70,808,568.81","Energía","2779201","AN8068571086","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.40","135.07","515,875.00","69,679,236.25","69,679,236.25","Cuidado de la Salud","2695921","US00817Y1082","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.39","40.61","1,680,058.00","68,227,155.38","68,227,155.38","Tecnología de la Información","2046552","US0382221051","NASDAQ"
"ITW","ILLINOIS TOOL INC","Equity","0.38","138.09","484,967.00","66,969,093.03","66,969,093.03","Industriales","2457552","US4523081093","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.38","245.96","271,366.00","66,745,181.36","66,745,181.36","Industriales","2648806","US6668071029","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.38","136.37","481,276.00","65,631,608.12","65,631,608.12","Cuidado de la Salud","2853688","US8636671013","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.37","55.41","1,174,602.00","65,084,696.82","65,084,696.82","Consumo discrecional","2640147","US6541061031","New York Stock Exchange Inc."
"BDX","BECTON DICKINSON","Equity","0.35","186.97","330,932.00","61,874,356.04","61,874,356.04","Cuidado de la Salud","2087807","US0758871091","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.35","165.33","370,280.00","61,218,392.40","61,218,392.40","Cuidado de la Salud","2886907","US8835561023","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.34","74.13","801,197.00","59,392,733.61","59,392,733.61","Financieros","2567741","US5717481023","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.32","52.25","1,075,411.00","56,190,224.75","56,190,224.75","Tecnología de la Información","2575818","US00507V1098","NASDAQ"
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.32","26.38","2,120,196.00","55,930,770.48","55,930,770.48","Cuidado de la Salud","2113434","US1011371077","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.32","60.20","926,309.00","55,763,801.80","55,763,801.80","Financieros","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.32","72.04","768,763.00","55,381,686.52","55,381,686.52","Productos básicos de consumo","2209106","US1941621039","New York Stock Exchange Inc."
"LLY","ELI LILLY","Equity","0.31","82.06","664,273.00","54,510,242.38","54,510,242.38","Cuidado de la Salud","2516152","US5324571083","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.31","165.26","328,209.00","54,239,819.34","54,239,819.34","Bienes Raíces","2812452","US8288061091","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.31","134.19","401,340.00","53,855,814.60","53,855,814.60","Financieros","BYV2325","US78409V1044","New York Stock Exchange Inc."
"LUV","SOUTHWEST AIRLINES","Equity","0.31","56.22","956,199.00","53,757,507.78","53,757,507.78","Industriales","2831543","US8447411088","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.31","79.75","672,116.00","53,601,251.00","53,601,251.00","Materiales","2018175","US2635341090","New York Stock Exchange Inc."
"MON","MONSANTO","Equity","0.30","116.61","456,782.00","53,265,349.02","53,265,349.02","Materiales","2654320","US61166W1018","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.29","221.98","232,096.00","51,520,670.08","51,520,670.08","Cuidado de la Salud","2445063","US4448591028","New York Stock Exchange Inc."
"EQIX","EQUINIX REIT INC","Equity","0.29","417.70","120,764.00","50,443,122.80","50,443,122.80","Bienes Raíces","BVLZX12","US29444U7000","NASDAQ"
"AON","AON PLC CLASS A","Equity","0.28","119.84","408,706.00","48,979,327.04","48,979,327.04","Financieros","B5BT0K0","GB00B5BT0K07","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.28","102.26","473,859.00","48,456,821.34","48,456,821.34","Industriales","2180201","US1491231015","New York Stock Exchange Inc."
"ISRG","INTUITIVE SURGICAL INC","Equity","0.27","835.87","57,066.00","47,699,757.42","47,699,757.42","Cuidado de la Salud","2871301","US46120E6023","NASDAQ"
"NEE","NEXTERA ENERGY INC","Equity","0.27","133.56","356,115.00","47,562,719.40","47,562,719.40","Servicios","2328915","US65339F1012","New York Stock Exchange Inc."
"INTU","INTUIT INC","Equity","0.27","125.21","377,921.00","47,319,488.41","47,319,488.41","Tecnología de la Información","2459020","US4612021034","NASDAQ"
"RTN","RAYTHEON","Equity","0.27","155.21","304,531.00","47,266,256.51","47,266,256.51","Industriales","2758051","US7551115071","New York Stock Exchange Inc."
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.27","172.54","268,990.00","46,411,534.60","46,411,534.60","Productos básicos de consumo","2170473","US21036P1084","New York Stock Exchange Inc."
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Equity","0.26","94.42","488,773.00","46,149,946.66","46,149,946.66","Consumo discrecional","2210614","US5719032022","NASDAQ"
"CSX","CSX CORP","Equity","0.26","50.84","906,699.00","46,096,577.16","46,096,577.16","Industriales","2160753","US1264081035","NASDAQ"
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.26","388.49","118,110.00","45,884,553.90","45,884,553.90","Cuidado de la Salud","2730190","US75886F1075","NASDAQ"
"WM","WASTE MANAGEMENT INC","Equity","0.26","72.78","628,584.00","45,748,343.52","45,748,343.52","Industriales","2937667","US94106L1098","New York Stock Exchange Inc."
"PXD","PIONEER NATURAL RESOURCE","Equity","0.26","172.99","263,987.00","45,667,111.13","45,667,111.13","Energía","2690830","US7237871071","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.26","94.82","478,925.00","45,411,668.50","45,411,668.50","Tecnología de la Información","2310194","US2855121099","NASDAQ"
"PLD","PROLOGIS REIT INC","Equity","0.26","54.41","823,118.00","44,785,850.38","44,785,850.38","Bienes Raíces","B44WZD7","US74340W1036","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.26","79.25","563,883.00","44,687,727.75","44,687,727.75","Financieros","2026082","US0258161092","New York Stock Exchange Inc."
"ALXN","ALEXION PHARMACEUTICALS INC","Equity","0.26","127.78","349,259.00","44,628,315.02","44,628,315.02","Cuidado de la Salud","2036070","US0153511094","NASDAQ"
"EOG","EOG RESOURCES INC","Equity","0.25","92.50","466,006.00","43,105,555.00","43,105,555.00","Energía","2318024","US26875P1012","New York Stock Exchange Inc."
"ADI","ANALOG DEVICES INC","Equity","0.25","76.20","565,634.00","43,101,310.80","43,101,310.80","Tecnología de la Información","2032067","US0326541051","NASDAQ"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Equity","0.25","84.19","510,687.00","42,994,738.53","42,994,738.53","Tecnología de la Información","2769796","US31620M1062","New York Stock Exchange Inc."
"ZTS","ZOETIS INC CLASS A","Equity","0.25","56.11","763,593.00","42,845,203.23","42,845,203.23","Cuidado de la Salud","B95WG16","US98978V1035","New York Stock Exchange Inc."
"DHR","DANAHER CORP","Equity","0.24","83.33","502,791.00","41,897,574.03","41,897,574.03","Cuidado de la Salud","2250870","US2358511028","New York Stock Exchange Inc."
"GLW","CORNING INC","Equity","0.24","28.85","1,441,351.00","41,582,976.35","41,582,976.35","Tecnología de la Información","2224701","US2193501051","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","0.23","189.84","213,335.00","40,499,516.40","40,499,516.40","Bienes Raíces","2131179","US0534841012","New York Stock Exchange Inc."
"HCN","WELLTOWER INC","Equity","0.23","71.44","563,141.00","40,230,793.04","40,230,793.04","Bienes Raíces","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.23","60.23","662,451.00","39,899,423.73","39,899,423.73","Tecnología de la Información","2257019","US1924461023","NASDAQ"
"FISV","FISERV INC","Equity","0.23","119.14","334,144.00","39,809,916.16","39,809,916.16","Tecnología de la Información","2342034","US3377381088","NASDAQ"
"ROST","ROSS STORES INC","Equity","0.23","65.00","612,169.00","39,790,985.00","39,790,985.00","Consumo discrecional","2746711","US7782961038","NASDAQ"
"CME","CME GROUP INC CLASS A","Equity","0.22","116.19","332,762.00","38,663,616.78","38,663,616.78","Financieros","2965839","US12572Q1058","NASDAQ"
"CBS","CBS CORP CLASS B","Equity","0.22","66.56","578,348.00","38,494,842.88","38,494,842.88","Consumo discrecional","B0SRLH6","US1248572026","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.21","62.59","598,843.00","37,481,583.37","37,481,583.37","Financieros","B1YLC43","US2547091080","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.21","129.75","288,167.00","37,389,668.25","37,389,668.25","Productos básicos de consumo","2491839","US4943681035","New York Stock Exchange Inc."
"LRCX","LAM RESEARCH CORP","Equity","0.21","144.85","253,193.00","36,675,006.05","36,675,006.05","Tecnología de la Información","2502247","US5128071082","NASDAQ"
"CMI","CUMMINS INC","Equity","0.21","150.94","240,158.00","36,249,448.52","36,249,448.52","Industriales","2240202","US2310211063","New York Stock Exchange Inc."
"EW","EDWARDS LIFESCIENCES CORP","Equity","0.21","109.67","329,658.00","36,153,592.86","36,153,592.86","Cuidado de la Salud","2567116","US28176E1082","New York Stock Exchange Inc."
"HAL","HALLIBURTON","Equity","0.21","45.88","780,896.00","35,827,508.48","35,827,508.48","Energía","2405302","US4062161017","New York Stock Exchange Inc."
"IR","INGERSOLL RAND PLC","Equity","0.20","88.75","402,693.00","35,739,003.75","35,739,003.75","Industriales","B633030","IE00B6330302","New York Stock Exchange Inc."
"BLK","BLACKROCK INC","Equity","0.20","384.57","92,807.00","35,690,787.99","35,690,787.99","Financieros","2494504","US09247X1019","New York Stock Exchange Inc."
"D","DOMINION RESOURCES INC","Equity","0.20","77.43","458,294.00","35,485,704.42","35,485,704.42","Servicios","2542049","US25746U1097","New York Stock Exchange Inc."
"ORLY","OREILLY AUTOMOTIVE INC","Equity","0.20","248.15","142,751.00","35,423,660.65","35,423,660.65","Consumo discrecional","B65LWX6","US67103H1077","NASDAQ"
"APH","AMPHENOL CORP CLASS A","Equity","0.20","72.31","479,102.00","34,643,865.62","34,643,865.62","Tecnología de la Información","2145084","US0320951017","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.20","94.60","364,420.00","34,474,132.00","34,474,132.00","Bienes Raíces","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"YUM","YUM BRANDS INC","Equity","0.20","65.75","523,427.00","34,415,325.25","34,415,325.25","Consumo discrecional","2098876","US9884981013","New York Stock Exchange Inc."
"BCR","C R BARD INC","Equity","0.20","307.48","111,669.00","34,335,984.12","34,335,984.12","Cuidado de la Salud","2077905","US0673831097","New York Stock Exchange Inc."
"INCY","INCYTE CORP","Equity","0.19","124.28","262,955.00","32,680,047.40","32,680,047.40","Cuidado de la Salud","2471950","US45337C1027","NASDAQ"
"PSA","PUBLIC STORAGE REIT","Equity","0.18","209.38","150,597.00","31,531,999.86","31,531,999.86","Bienes Raíces","2852533","US74460D1090","New York Stock Exchange Inc."
"ROK","ROCKWELL AUTOMATION INC","Equity","0.18","157.35","199,997.00","31,469,527.95","31,469,527.95","Industriales","2754060","US7739031091","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.18","61.54","510,522.00","31,417,523.88","31,417,523.88","Energía","2655408","US6745991058","New York Stock Exchange Inc."
"UAL","UNITED CONTINENTAL HOLDINGS INC","Equity","0.18","70.21","444,107.00","31,180,752.47","31,180,752.47","Industriales","B4QG225","US9100471096","New York Stock Exchange Inc."
"PX","PRAXAIR INC","Equity","0.18","124.98","248,145.00","31,013,162.10","31,013,162.10","Materiales","2699291","US74005P1049","New York Stock Exchange Inc."
"AZO","AUTOZONE INC","Equity","0.18","692.19","44,332.00","30,686,167.08","30,686,167.08","Consumo discrecional","2065955","US0533321024","New York Stock Exchange Inc."
"MCO","MOODYS CORP","Equity","0.17","118.32","258,108.00","30,539,338.56","30,539,338.56","Financieros","2252058","US6153691059","New York Stock Exchange Inc."
"DLTR","DOLLAR TREE INC","Equity","0.17","82.77","366,605.00","30,343,895.85","30,343,895.85","Consumo discrecional","2272476","US2567461080","NASDAQ"
"FTV","FORTIVE CORP","Equity","0.17","63.26","468,123.00","29,613,460.98","29,613,460.98","Industriales","BYT3MK1","US34959J1088","New York Stock Exchange Inc."
"PAYX","PAYCHEX INC","Equity","0.17","59.28","497,244.00","29,476,624.32","29,476,624.32","Tecnología de la Información","2674458","US7043261079","NASDAQ"
"CERN","CERNER CORP","Equity","0.17","64.75","454,874.00","29,453,091.50","29,453,091.50","Cuidado de la Salud","2185284","US1567821046","NASDAQ"
"SHW","SHERWIN WILLIAMS","Equity","0.17","334.68","86,910.00","29,087,038.80","29,087,038.80","Materiales","2804211","US8243481061","New York Stock Exchange Inc."
"ILMN","ILLUMINA INC","Equity","0.17","184.86","157,234.00","29,066,277.24","29,066,277.24","Cuidado de la Salud","2613990","US4523271090","NASDAQ"
"ECL","ECOLAB INC","Equity","0.17","129.09","224,154.00","28,936,039.86","28,936,039.86","Materiales","2304227","US2788651006","New York Stock Exchange Inc."
"DG","DOLLAR GENERAL CORP","Equity","0.16","72.71","395,249.00","28,738,554.79","28,738,554.79","Consumo discrecional","B5B1S13","US2566771059","New York Stock Exchange Inc."
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.16","99.74","286,677.00","28,593,163.98","28,593,163.98","Tecnología de la Información","2961053","US83088M1027","NASDAQ"
"GIS","GENERAL MILLS INC","Equity","0.16","57.51","494,703.00","28,450,369.53","28,450,369.53","Productos básicos de consumo","2367026","US3703341046","New York Stock Exchange Inc."
"DLR","DIGITAL REALTY TRUST REIT INC TRUS","Equity","0.16","114.84","247,647.00","28,439,781.48","28,439,781.48","Bienes Raíces","B03GQS4","US2538681030","New York Stock Exchange Inc."
"NEM","NEWMONT MINING CORP","Equity","0.16","33.81","824,927.00","27,890,781.87","27,890,781.87","Materiales","2636607","US6516391066","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.16","60.28","460,781.00","27,775,878.68","27,775,878.68","Industriales","2313405","US2910111044","New York Stock Exchange Inc."
"APD","AIR PRODUCTS AND CHEMICALS INC","Equity","0.15","140.50","192,373.00","27,028,406.50","27,028,406.50","Materiales","2011602","US0091581068","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.15","118.30","219,291.00","25,942,125.30","25,942,125.30","Cuidado de la Salud","2931034","US92532F1003","NASDAQ"
"ULTA","ULTA BEAUTY INC","Equity","0.15","281.44","91,015.00","25,615,261.60","25,615,261.60","Consumo discrecional","B28TS42","US90384S3031","NASDAQ"
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","0.15","75.58","337,627.00","25,517,848.66","25,517,848.66","Tecnología de la Información","2592174","US5950171042","NASDAQ"
"EFX","EQUIFAX INC","Equity","0.14","135.31","185,811.00","25,142,086.41","25,142,086.41","Industriales","2319146","US2944291051","New York Stock Exchange Inc."
"EXPE","EXPEDIA INC","Equity","0.14","133.72","187,436.00","25,063,941.92","25,063,941.92","Consumo discrecional","B748CK2","US30212P3038","NASDAQ"
"DE","DEERE","Equity","0.14","111.61","223,988.00","24,999,300.68","24,999,300.68","Industriales","2261203","US2441991054","New York Stock Exchange Inc."
"VMC","VULCAN MATERIALS","Equity","0.14","120.88","206,331.00","24,941,291.28","24,941,291.28","Materiales","2931205","US9291601097","New York Stock Exchange Inc."
"APC","ANADARKO PETROLEUM CORP","Equity","0.14","57.02","434,068.00","24,750,557.36","24,750,557.36","Energía","2032380","US0325111070","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","0.14","64.58","381,130.00","24,613,375.40","24,613,375.40","Bienes Raíces","2319157","US29476L1070","New York Stock Exchange Inc."
"RHT","RED HAT INC","Equity","0.14","88.08","278,118.00","24,496,633.44","24,496,633.44","Tecnología de la Información","2447218","US7565771026","New York Stock Exchange Inc."
"FOXA","TWENTY FIRST CENTURY FOX INC CLASS","Equity","0.14","30.54","787,794.00","24,059,228.76","24,059,228.76","Consumo discrecional","BBM4S68","US90130A1016","NASDAQ"
"ZBH","ZIMMER BIOMET HOLDINGS INC","Equity","0.14","119.65","200,153.00","23,948,306.45","23,948,306.45","Cuidado de la Salud","2783815","US98956P1021","New York Stock Exchange Inc."
"KLAC","KLA TENCOR CORP","Equity","0.14","98.22","243,762.00","23,942,303.64","23,942,303.64","Tecnología de la Información","2480138","US4824801009","NASDAQ"
