iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-ago-2017"
Total Net Assets,"19,080,155,307.33"
,"133,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"SBUX","STARBUCKS CORP","Equity","0.67","54.86","2,320,719.00","127,314,644.34","127,314,644.34","Consumo discrecional","2842255","US8552441094","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.67","35.07","3,622,379.00","127,036,831.53","127,036,831.53","Tecnología de la Información","2463247","US4581401001","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.66","114.36","1,103,820.00","126,232,855.20","126,232,855.20","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.66","101.10","1,242,874.00","125,654,561.40","125,654,561.40","Consumo discrecional","B63QTN2","US8873173038","New York Stock Exchange Inc."
"QCOM","QUALCOMM INC","Equity","0.65","52.27","2,367,734.00","123,761,456.18","123,761,456.18","Tecnología de la Información","2714923","US7475251036","NASDAQ"
"ADBE","ADOBE SYSTEM INC","Equity","0.65","155.16","792,801.00","123,011,003.16","123,011,003.16","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.64","305.39","398,920.00","121,826,178.80","121,826,178.80","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.63","174.71","690,725.00","120,676,564.75","120,676,564.75","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"AMGN","AMGEN INC","Equity","0.61","177.77","648,634.00","115,307,666.18","115,307,666.18","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.59","143.03","780,972.00","111,702,425.16","111,702,425.16","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.58","61.68","1,790,372.00","110,430,144.96","110,430,144.96","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"BIIB","BIOGEN INC INC","Equity","0.57","316.56","342,340.00","108,371,150.40","108,371,150.40","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
"CRM","SALESFORCE.COM INC","Equity","0.54","95.49","1,071,588.00","102,325,938.12","102,325,938.12","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.53","148.05","681,122.00","100,840,112.10","100,840,112.10","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.52","138.27","720,814.00","99,666,951.78","99,666,951.78","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.49","105.30","893,024.00","94,035,427.20","94,035,427.20","Industriales","2914734","US9078181081","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","0.48","201.35","454,572.00","91,528,072.20","91,528,072.20","Industriales","2365161","US3695501086","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.46","60.48","1,453,052.00","87,880,584.96","87,880,584.96","Cuidado de la Salud","2126335","US1101221083","New York Stock Exchange Inc."
"FDX","FEDEX CORP","Equity","0.44","214.38","394,489.00","84,570,551.82","84,570,551.82","Industriales","2142784","US31428X1063","New York Stock Exchange Inc."
"AET","AETNA INC","Equity","0.44","157.70","530,492.00","83,658,588.40","83,658,588.40","Cuidado de la Salud","2695921","US00817Y1082","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.41","39.90","1,951,739.00","77,874,386.10","77,874,386.10","Financieros","2779397","US8085131055","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.41","45.12","1,723,695.00","77,773,118.40","77,773,118.40","Tecnología de la Información","2046552","US0382221051","NASDAQ"
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.40","106.47","717,837.00","76,428,105.39","76,428,105.39","Tecnología de la Información","2065308","US0530151036","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.40","272.21","280,093.00","76,244,115.53","76,244,115.53","Industriales","2648806","US6668071029","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.39","72.30","1,029,717.00","74,448,539.10","74,448,539.10","Consumo discrecional","2989301","US8725401090","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.38","51.25","1,423,470.00","72,952,837.50","72,952,837.50","Financieros","2736035","US9029733048","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.38","65.56","1,109,944.00","72,767,928.64","72,767,928.64","Tecnología de la Información","2575818","US00507V1098","NASDAQ"
"BDX","BECTON DICKINSON","Equity","0.38","199.44","364,785.00","72,752,720.40","72,752,720.40","Cuidado de la Salud","2087807","US0758871091","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.38","187.14","381,990.00","71,485,608.60","71,485,608.60","Cuidado de la Salud","2886907","US8835561023","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.37","141.37","496,533.00","70,194,870.21","70,194,870.21","Cuidado de la Salud","2853688","US8636671013","New York Stock Exchange Inc."
"ITW","ILLINOIS TOOL INC","Equity","0.36","137.51","498,901.00","68,603,876.51","68,603,876.51","Industriales","2457552","US4523081093","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.34","73.89","879,192.00","64,963,496.88","64,963,496.88","Consumo discrecional","2536763","US5486611073","New York Stock Exchange Inc."
"MMC","MARSH & MCLENNAN INC","Equity","0.34","78.08","825,016.00","64,417,249.28","64,417,249.28","Financieros","2567741","US5717481023","New York Stock Exchange Inc."
"NKE","NIKE INC CLASS B","Equity","0.34","52.81","1,209,069.00","63,850,933.89","63,850,933.89","Consumo discrecional","2640147","US6541061031","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.33","63.51","1,003,427.00","63,727,648.77","63,727,648.77","Energía","2779201","AN8068571086","New York Stock Exchange Inc."
"SPGI","S&P GLOBAL INC","Equity","0.33","154.33","412,754.00","63,700,324.82","63,700,324.82","Financieros","BYV2325","US78409V1044","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.32","64.67","948,007.00","61,307,612.69","61,307,612.69","Financieros","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.32","496.90","121,974.00","60,608,880.60","60,608,880.60","Cuidado de la Salud","2730190","US75886F1075","NASDAQ"
