iShares S&P 500 Growth ETF
Inception Date,"22-may-2000"
Fund Holdings as of,"31-may-2017"
Total Net Assets,"18,070,050,930.38"
,"131,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
"TWX","TIME WARNER INC","Equity","0.67","99.49","1,210,046.00","120,387,476.54","120,387,476.54","Consumo discrecional","B63QTN2","US8873173038","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.66","150.89","793,502.00","119,731,516.78","119,731,516.78","Consumo discrecional","2550707","US5801351017","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.65","152.63","764,551.00","116,693,419.13","116,693,419.13","Tecnología de la Información","2005973","US4592001014","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.64","345.55","336,118.00","116,145,574.90","116,145,574.90","Consumo discrecional","BZ6VT82","US16119P1084","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.63","105.97","1,077,020.00","114,131,809.40","114,131,809.40","Industriales","2517382","US9113121068","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.62","187.63","596,419.00","111,906,096.97","111,906,096.97","Industriales","2108601","US0970231058","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.61","141.86","774,617.00","109,887,167.62","109,887,167.62","Tecnología de la Información","2008154","US00724F1012","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.61","281.13","390,165.00","109,687,086.45","109,687,086.45","Industriales","2522096","US5398301094","New York Stock Exchange Inc."
"NFLX","NETFLIX INC","Equity","0.61","163.07","672,628.00","109,685,447.96","109,685,447.96","Consumo discrecional","2857817","US64110L1061","NASDAQ"
"AMGN","AMGEN INC","Equity","0.54","155.24","633,011.00","98,268,627.64","98,268,627.64","Cuidado de la Salud","2023607","US0311621009","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.54","110.30","877,477.00","96,785,713.10","96,785,713.10","Industriales","2914734","US9078181081","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.52","132.99","701,591.00","93,304,587.09","93,304,587.09","Industriales","2020459","US4385161066","New York Stock Exchange Inc."
"CRM","SALESFORCE.COM INC","Equity","0.51","89.64","1,023,438.00","91,740,982.32","91,740,982.32","Tecnología de la Información","2310525","US79466L3024","New York Stock Exchange Inc."
"PYPL","PAYPAL HOLDINGS INC","Equity","0.51","52.21","1,754,977.00","91,627,349.17","91,627,349.17","Tecnología de la Información","BYW36M8","US70450Y1038","NASDAQ"
"GD","GENERAL DYNAMICS CORP","Equity","0.50","203.25","444,735.00","90,392,388.75","90,392,388.75","Industriales","2365161","US3695501086","New York Stock Exchange Inc."
"AMT","AMERICAN TOWER REIT CORP","Equity","0.49","131.19","667,590.00","87,581,132.10","87,581,132.10","Bienes Raíces","B7FBFL2","US03027X1000","New York Stock Exchange Inc."
"RAI","REYNOLDS AMERICAN INC","Equity","0.48","67.25","1,292,484.00","86,919,549.00","86,919,549.00","Productos básicos de consumo","2429090","US7617131062","New York Stock Exchange Inc."
"BIIB","BIOGEN INC INC","Equity","0.46","247.77","337,416.00","83,601,562.32","83,601,562.32","Cuidado de la Salud","2455965","US09062X1037","NASDAQ"
